sciName,birdName,chineseName,href,alt,src
Accipiter trivirgatus,Crested Goshawk,ªÒ¿Yªa∆N,https://macaulaylibrary.org/asset/182220181?__hstc=60209138.af4ec85aab74b239a80687f479579d7b.1714884700136.1714884700136.1714884700136.1&__hssc=60209138.1.1714884700136&__hsfp=331539555,Crested Goshawk - Rui-Yang Ho,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/182220181/480
Accipiter trivirgatus,Crested Goshawk,ªÒ¿Yªa∆N,https://macaulaylibrary.org/asset/182220161?__hstc=60209138.af4ec85aab74b239a80687f479579d7b.1714884700136.1714884700136.1714884700136.1&__hssc=60209138.1.1714884700136&__hsfp=331539555,Crested Goshawk - Rui-Yang Ho,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/182220161/480
Accipiter trivirgatus,Crested Goshawk,ªÒ¿Yªa∆N,https://macaulaylibrary.org/asset/405925541?__hstc=60209138.af4ec85aab74b239a80687f479579d7b.1714884700136.1714884700136.1714884700136.1&__hssc=60209138.1.1714884700136&__hsfp=331539555,Crested Goshawk - Rui-Yang Ho,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/405925541/480
Accipiter trivirgatus,Crested Goshawk,ªÒ¿Yªa∆N,https://macaulaylibrary.org/asset/205670231?__hstc=60209138.af4ec85aab74b239a80687f479579d7b.1714884700136.1714884700136.1714884700136.1&__hssc=60209138.1.1714884700136&__hsfp=331539555,Crested Goshawk - Chun Fai LO,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/205670231/480
Accipiter trivirgatus,Crested Goshawk,ªÒ¿Yªa∆N,https://macaulaylibrary.org/asset/352462361?__hstc=60209138.af4ec85aab74b239a80687f479579d7b.1714884700136.1714884700136.1714884700136.1&__hssc=60209138.1.1714884700136&__hsfp=331539555,Crested Goshawk - David Irving,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/352462361/480
Accipiter trivirgatus,Crested Goshawk,ªÒ¿Yªa∆N,https://macaulaylibrary.org/asset/39123401?__hstc=60209138.af4ec85aab74b239a80687f479579d7b.1714884700136.1714884700136.1714884700136.1&__hssc=60209138.1.1714884700136&__hsfp=331539555,Crested Goshawk - Allen Lyu,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/39123401/480
Accipiter trivirgatus,Crested Goshawk,ªÒ¿Yªa∆N,https://macaulaylibrary.org/asset/149787331?__hstc=60209138.af4ec85aab74b239a80687f479579d7b.1714884700136.1714884700136.1714884700136.1&__hssc=60209138.1.1714884700136&__hsfp=331539555,Crested Goshawk - Jhih-Wei (ÂøóÂ?) TSAI (??,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/149787331/480
Accipiter trivirgatus,Crested Goshawk,ªÒ¿Yªa∆N,https://macaulaylibrary.org/asset/77434781?__hstc=60209138.af4ec85aab74b239a80687f479579d7b.1714884700136.1714884700136.1714884700136.1&__hssc=60209138.1.1714884700136&__hsfp=331539555,Crested Goshawk - Lee-Lien WANG,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/77434781/480
Accipiter trivirgatus,Crested Goshawk,ªÒ¿Yªa∆N,https://macaulaylibrary.org/asset/323301031?__hstc=60209138.af4ec85aab74b239a80687f479579d7b.1714884700136.1714884700136.1714884700136.1&__hssc=60209138.1.1714884700136&__hsfp=331539555,Crested Goshawk - Nathan Tea,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/323301031/480
Accipiter trivirgatus,Crested Goshawk,ªÒ¿Yªa∆N,https://macaulaylibrary.org/asset/323301011?__hstc=60209138.af4ec85aab74b239a80687f479579d7b.1714884700136.1714884700136.1714884700136.1&__hssc=60209138.1.1714884700136&__hsfp=331539555,Crested Goshawk - Nathan Tea,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/323301011/480
Accipiter trivirgatus,Crested Goshawk,ªÒ¿Yªa∆N,https://macaulaylibrary.org/asset/69500661?__hstc=60209138.af4ec85aab74b239a80687f479579d7b.1714884700136.1714884700136.1714884700136.1&__hssc=60209138.1.1714884700136&__hsfp=331539555,Crested Goshawk - ST Chien,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/69500661/480
Accipiter trivirgatus,Crested Goshawk,ªÒ¿Yªa∆N,https://macaulaylibrary.org/asset/529750041?__hstc=60209138.af4ec85aab74b239a80687f479579d7b.1714884700136.1714884700136.1714884700136.1&__hssc=60209138.1.1714884700136&__hsfp=331539555,Crested Goshawk - ZUI-QI CHEN,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/529750041/480
Accipiter trivirgatus,Crested Goshawk,ªÒ¿Yªa∆N,https://macaulaylibrary.org/asset/91271961?__hstc=60209138.af4ec85aab74b239a80687f479579d7b.1714884700136.1714884700136.1714884700136.1&__hssc=60209138.1.1714884700136&__hsfp=331539555,Crested Goshawk - ‰ΩëÊ? ??,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/91271961/480
Accipiter trivirgatus,Crested Goshawk,ªÒ¿Yªa∆N,https://macaulaylibrary.org/asset/90212791?__hstc=60209138.af4ec85aab74b239a80687f479579d7b.1714884700136.1714884700136.1714884700136.1&__hssc=60209138.1.1714884700136&__hsfp=331539555,Crested Goshawk - Cheng-Ru Tsai,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/90212791/480
Accipiter trivirgatus,Crested Goshawk,ªÒ¿Yªa∆N,https://macaulaylibrary.org/asset/569269301?__hstc=60209138.af4ec85aab74b239a80687f479579d7b.1714884700136.1714884700136.1714884700136.1&__hssc=60209138.1.1714884700136&__hsfp=331539555,Crested Goshawk - Shen-Iuan Liu,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/569269301/480
Accipiter trivirgatus,Crested Goshawk,ªÒ¿Yªa∆N,https://macaulaylibrary.org/asset/603238711?__hstc=60209138.af4ec85aab74b239a80687f479579d7b.1714884700136.1714884700136.1714884700136.1&__hssc=60209138.1.1714884700136&__hsfp=331539555,Crested Goshawk - ÂÆ?Âæ?,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/603238711/480
Accipiter trivirgatus,Crested Goshawk,ªÒ¿Yªa∆N,https://macaulaylibrary.org/asset/487187421?__hstc=60209138.af4ec85aab74b239a80687f479579d7b.1714884700136.1714884700136.1714884700136.1&__hssc=60209138.1.1714884700136&__hsfp=331539555,Crested Goshawk - Cheng-Ru Tsai,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/487187421/480
Accipiter trivirgatus,Crested Goshawk,ªÒ¿Yªa∆N,https://macaulaylibrary.org/asset/408065301?__hstc=60209138.af4ec85aab74b239a80687f479579d7b.1714884700136.1714884700136.1714884700136.1&__hssc=60209138.1.1714884700136&__hsfp=331539555,Crested Goshawk - Po-Wei Chi,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/408065301/480
Accipiter trivirgatus,Crested Goshawk,ªÒ¿Yªa∆N,https://macaulaylibrary.org/asset/190395171?__hstc=60209138.af4ec85aab74b239a80687f479579d7b.1714884700136.1714884700136.1714884700136.1&__hssc=60209138.1.1714884700136&__hsfp=331539555,Crested Goshawk - Nathan Tea,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/190395171/480
Accipiter trivirgatus,Crested Goshawk,ªÒ¿Yªa∆N,https://macaulaylibrary.org/asset/77434801?__hstc=60209138.af4ec85aab74b239a80687f479579d7b.1714884700136.1714884700136.1714884700136.1&__hssc=60209138.1.1714884700136&__hsfp=331539555,Crested Goshawk - Lee-Lien WANG,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/77434801/480
Accipiter trivirgatus,Crested Goshawk,ªÒ¿Yªa∆N,https://macaulaylibrary.org/asset/190395881?__hstc=60209138.af4ec85aab74b239a80687f479579d7b.1714884700136.1714884700136.1714884700136.1&__hssc=60209138.1.1714884700136&__hsfp=331539555,Crested Goshawk - Nathan Tea,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/190395881/480
Accipiter trivirgatus,Crested Goshawk,ªÒ¿Yªa∆N,https://macaulaylibrary.org/asset/190395871?__hstc=60209138.af4ec85aab74b239a80687f479579d7b.1714884700136.1714884700136.1714884700136.1&__hssc=60209138.1.1714884700136&__hsfp=331539555,Crested Goshawk - Nathan Tea,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/190395871/480
Accipiter trivirgatus,Crested Goshawk,ªÒ¿Yªa∆N,https://macaulaylibrary.org/asset/553720731?__hstc=60209138.af4ec85aab74b239a80687f479579d7b.1714884700136.1714884700136.1714884700136.1&__hssc=60209138.1.1714884700136&__hsfp=331539555,Crested Goshawk - ?ç‰Ω≥ ??,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/553720731/480
Accipiter trivirgatus,Crested Goshawk,ªÒ¿Yªa∆N,https://macaulaylibrary.org/asset/196934341?__hstc=60209138.af4ec85aab74b239a80687f479579d7b.1714884700136.1714884700136.1714884700136.1&__hssc=60209138.1.1714884700136&__hsfp=331539555,Crested Goshawk - camake OD,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/196934341/480
Accipiter trivirgatus,Crested Goshawk,ªÒ¿Yªa∆N,https://macaulaylibrary.org/asset/47393021?__hstc=60209138.af4ec85aab74b239a80687f479579d7b.1714884700136.1714884700136.1714884700136.1&__hssc=60209138.1.1714884700136&__hsfp=331539555,Crested Goshawk - Wout Lexmond,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/47393021/480
Accipiter trivirgatus,Crested Goshawk,ªÒ¿Yªa∆N,https://macaulaylibrary.org/asset/39406621?__hstc=60209138.af4ec85aab74b239a80687f479579d7b.1714884700136.1714884700136.1714884700136.1&__hssc=60209138.1.1714884700136&__hsfp=331539555,Crested Goshawk - Allen Lyu,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/39406621/480
Accipiter trivirgatus,Crested Goshawk,ªÒ¿Yªa∆N,https://macaulaylibrary.org/asset/285271821?__hstc=60209138.af4ec85aab74b239a80687f479579d7b.1714884700136.1714884700136.1714884700136.1&__hssc=60209138.1.1714884700136&__hsfp=331539555,Crested Goshawk - Yung-Kuan Lee,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/285271821/480
Accipiter trivirgatus,Crested Goshawk,ªÒ¿Yªa∆N,https://macaulaylibrary.org/asset/79015001?__hstc=60209138.af4ec85aab74b239a80687f479579d7b.1714884700136.1714884700136.1714884700136.1&__hssc=60209138.1.1714884700136&__hsfp=331539555,Crested Goshawk - Anonymous,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/79015001/480
Accipiter trivirgatus,Crested Goshawk,ªÒ¿Yªa∆N,https://macaulaylibrary.org/asset/206010401?__hstc=60209138.af4ec85aab74b239a80687f479579d7b.1714884700136.1714884700136.1714884700136.1&__hssc=60209138.1.1714884700136&__hsfp=331539555,Crested Goshawk - Lars Petersson | My World of Bird Photography,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/206010401/480
Accipiter trivirgatus,Crested Goshawk,ªÒ¿Yªa∆N,https://macaulaylibrary.org/asset/206010391?__hstc=60209138.af4ec85aab74b239a80687f479579d7b.1714884700136.1714884700136.1714884700136.1&__hssc=60209138.1.1714884700136&__hsfp=331539555,Crested Goshawk - Lars Petersson | My World of Bird Photography,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/206010391/480
Pernis ptilorhynchus,Oriental honey buzzard ,™F§Ë∏¡∆N,https://macaulaylibrary.org/asset/468740121?__hstc=60209138.54a5fc96a2e36eb8bf6675c4d8b67ff8.1714887143594.1714887143594.1714887143594.1&__hssc=60209138.1.1714887143594&__hsfp=331539555,Oriental Honey-buzzard (Northern) - Chin-wei Su,https://cdn.download.ams.birds.cornell.edu/api/v1/asset/468740121/480
